antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0159,Product P0159,P0072,"French fries, 180 g",616,1626,5580,0.019770838013929454,0.37884378843788435,2.115346938415621,465.588855559854,2.9219685797830105e-103,3.4278147532723274e-102,0.12224285125278361,True
P0072,"French fries, 180 g",P0159,Product P0159,616,5580,1626,0.019770838013929454,0.11039426523297491,2.115346938415621,465.588855559854,2.9219685797830105e-103,3.4278147532723274e-102,0.12224285125278361,True
P0011,Product P0011,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",609,1889,5898,0.019546169400134802,0.3223928004235045,1.7030845172592624,232.11234002290598,2.0638845671943286e-52,1.0424528068560242e-51,0.08631202339483963,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0011,Product P0011,609,5898,1889,0.019546169400134802,0.10325534079348932,1.7030845172592624,232.11234002290598,2.0638845671943286e-52,1.0424528068560242e-51,0.08631202339483963,True
P0007,Product P0007,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",602,2157,5898,0.019321500786340148,0.27909133055169216,1.4743385191588798,121.75118129346251,2.616819351314393e-28,6.670443720289726e-28,0.06251133511962187,True
P0567,"Fried Romanian cheese doughnuts, 180 g",P0095,Product P0095,602,2807,3929,0.019321500786340148,0.2144638403990025,1.7006998919093206,218.56236005685028,1.8619760674244646e-49,8.794008179913814e-49,0.08375483138444728,True
P0095,Product P0095,P0567,"Fried Romanian cheese doughnuts, 180 g",602,3929,2807,0.019321500786340148,0.15321964876558922,1.7006998919093206,218.56236005685028,1.8619760674244646e-49,8.794008179913814e-49,0.08375483138444728,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0007,Product P0007,602,5898,2157,0.019321500786340148,0.10206849779586301,1.4743385191588798,121.75118129346251,2.616819351314393e-28,6.670443720289726e-28,0.06251133511962187,True
P0572,"Medium Capricciosa pizza, 550 g",P0159,Product P0159,587,1605,1626,0.018840068042494464,0.36573208722741435,7.00806558532875,3363.2218072615037,0.0,0.0,0.32854883988346373,True
P0159,Product P0159,P0572,"Medium Capricciosa pizza, 550 g",587,1626,1605,0.018840068042494464,0.36100861008610086,7.00806558532875,3363.2218072615037,0.0,0.0,0.32854883988346373,True
P0627,"Chicken breast strips, 200 g",P0070,"Caru' cu Flori potatoes, 180 g",584,1085,4003,0.018743781493725326,0.5382488479262673,4.189412779125333,1685.7621410930847,0.0,0.0,0.23260568824480915,True
P0070,"Caru' cu Flori potatoes, 180 g",P0627,"Chicken breast strips, 200 g",584,4003,1085,0.018743781493725326,0.1458905820634524,4.189412779125333,1685.7621410930847,0.0,0.0,0.23260568824480915,True
P0089,Product P0089,P0612,"Sour cream, 50 g",581,1128,2147,0.01864749494495619,0.5150709219858156,7.474645885566865,3631.116819475838,0.0,0.0,0.34138331668126065,True
P0612,"Sour cream, 50 g",P0089,Product P0089,581,2147,1128,0.01864749494495619,0.2706101537028412,7.474645885566865,3631.116819475838,0.0,0.0,0.34138331668126065,True
P0058,Product P0058,P0095,Product P0095,574,2522,3929,0.018422826331161535,0.22759714512291832,1.804847098649724,256.50544088645563,9.914391540065468e-58,5.723069402228267e-57,0.09073408702257876,True
P0095,Product P0095,P0058,Product P0058,574,3929,2522,0.018422826331161535,0.14609315347416646,1.804847098649724,256.50544088645563,9.914391540065468e-58,5.723069402228267e-57,0.09073408702257876,True
P0058,Product P0058,P0072,"French fries, 180 g",571,2522,5580,0.0183265397823924,0.22640761300555115,1.2641903222964082,41.785146957837945,1.0187438400830629e-10,1.4643603814632697e-10,0.03662124879711876,True
P0072,"French fries, 180 g",P0058,Product P0058,571,5580,2522,0.0183265397823924,0.10232974910394266,1.2641903222964082,41.785146957837945,1.0187438400830629e-10,1.4643603814632697e-10,0.03662124879711876,True
P0537,Product P0537,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",566,1610,5898,0.018166062201110503,0.3515527950310559,1.857126218172704,291.2368283922797,2.6734037188321543e-65,1.767686943785382e-64,0.09668193399038244,True
P0089,Product P0089,P0018,"Hot pepper, 1 pc.",563,1128,2461,0.018069775652341368,0.499113475177305,6.318926674562898,2839.6323856728495,0.0,0.0,0.30189313903516124,True
P0018,"Hot pepper, 1 pc.",P0089,Product P0089,563,2461,1128,0.018069775652341368,0.2287687931735067,6.318926674562898,2839.6323856728495,0.0,0.0,0.30189313903516124,True
P0011,Product P0011,P0070,"Caru' cu Flori potatoes, 180 g",559,1889,4003,0.017941393587315852,0.29592376919004765,2.3032967466036256,503.53880462580184,1.6143704843903104e-111,1.9789642679436278e-110,0.12712725077490294,True
P0070,"Caru' cu Flori potatoes, 180 g",P0011,Product P0011,559,4003,1889,0.017941393587315852,0.13964526605046215,2.3032967466036256,503.53880462580184,1.6143704843903104e-111,1.9789642679436278e-110,0.12712725077490294,True
P0152,"Stella Artois draught beer, 0.4 L",P0070,"Caru' cu Flori potatoes, 180 g",550,2832,4003,0.017652533941008443,0.1942090395480226,1.5116090545085537,120.20075217542833,5.717207181117297e-28,1.4438594987497617e-27,0.0621120374442462,True
